,Operation #,Agency Number,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency,Infant,Toddler,Preschool,School,address_composite,lat,lon,osm_address
0,1660660,,123 Sunshine Academy,15303 E ANTONE CIR ,HOUSTON,TX,77071,HARRIS,281-810-9028,Licensed Child-Care Home,Full Permit,2/1/2018,12,,1287403,,Y,Y,Y,Y,"15303 E ANTONE CIR , HARRIS County, TX 77071",29.63859575,-95.51675625,"15303, East Antone Circle, Missouri City, Harris County, Texas, 77071, United States"
1,1713882,,1st Step 2 Life #2,534 NORMANDY ST ,HOUSTON,TX,77015,HARRIS,281-704-4728,Licensed Center - Child Care Program,Renewed Initial,5/28/2021,74,,1365205,,Y,Y,Y,Y,"534 NORMANDY ST , HARRIS County, TX 77015",29.790481544694526,-95.2023133136594,"534, Normandy Street, Harris County, Texas, 77015, United States"
2,864918,,1st Step University Child Care,1402 STONEHOLLOW DR ,KINGWOOD,TX,77339,HARRIS,281-358-0699,Licensed Center - Child Care Program,Full Permit,2/23/2007,75,,303366,,Y,Y,Y,Y,"1402 STONEHOLLOW DR , HARRIS County, TX 77339",30.051485151515152,-95.23737518181818,"1402, Stonehollow Drive, Houston, Harris County, Texas, 77339, United States"
3,1710455,,A & B Nursery School,3111 FOREST OAKS BLVD ,HOUSTON,TX,77017,HARRIS,713-944-6144,Licensed Center - Child Care Program,Full Permit,2/22/2021,153,tsquare705@gmail.com,1359919,,Y,Y,Y,Y,"3111 FOREST OAKS BLVD , HARRIS County, TX 77017",29.67091753364053,-95.24037279232179,"3111, Forest Oaks Boulevard, Houston, Harris County, Texas, 77017, United States"
4,889806,,"A B C Academy, LLC",18916 FREEPORT DR ,MONTGOMERY,TX,77356,MONTGOMERY,936-448-2223,Licensed Center - Child Care Program,Full Permit,7/23/2008,322,abc@abcmontgomery.com,345822,,Y,Y,Y,Y,"18916 FREEPORT DR , MONTGOMERY County, TX 77356",30.387376345646032,-95.65749393941188,"18916, Freeport Drive, Conroe, Montgomery County, Texas, 77356, United States"
5,1662892,,A B Sea Preschool,2335 TEXAS ST STE B,PEARLAND,TX,77581,BRAZORIA,832-243-4602,Licensed Center - Child Care Program,Full Permit,3/21/2018,50,abseapreschool@gmail.com,1290709,,N,Y,Y,Y,"2335 TEXAS ST STE B, BRAZORIA County, TX 77581",29.436211,-95.2482507,"Texas Street, Alvin, Brazoria County, Texas, 77511, United States"
6,1693960,,A Better Class Learning Academy,221 N ELM ST ,SWEENY,TX,77480,BRAZORIA,979-236-6561,Licensed Center - Child Care Program,Full Permit,1/21/2020,34,abclearningacademy@outlook.com,1334913,,N,Y,Y,Y,"221 N ELM ST , BRAZORIA County, TX 77480",29.040284673469387,-95.69771391836734,"221, North Elm Street, Sweeny, Brazoria County, Texas, 77480, United States"
7,1596300,,A Better Class Learning Academy,501 KIRBY DR ,WEST COLUMBIA,TX,77486,BRAZORIA,979-345-3202,Licensed Center - Child Care Program,Full Permit,4/11/2016,27,,1212066,,N,Y,Y,Y,"501 KIRBY DR , BRAZORIA County, TX 77486",29.124623,-95.640371,"501, Kirby Drive, West Columbia, Brazoria County, Texas, 77486, United States"
8,1695775,,A Better Me Learning Academy,315 E DALLAS ST ,FRESNO,TX,77545,FORT BEND,832-216-6038,Licensed Center - Child Care Program,Full Permit,6/18/2020,12,,1337314,,N,N,Y,Y,"315 E DALLAS ST , FORT BEND County, TX 77545",29.539838332260814,-95.4431090195682,"315, East Dallas Road, Fresno, Fort Bend County, Texas, 77545, United States"
9,888211,,A Big Place 4 Little People Daycare 2,4201 FRIENDSWOOD LINK RD ,FRIENDSWOOD,TX,77546,HARRIS,281-648-5000,Licensed Center - Child Care Program,Full Permit,7/7/2008,105,stefanie.hall@abigplace.com,342964,,Y,Y,Y,Y,"4201 FRIENDSWOOD LINK RD , HARRIS County, TX 77546",29.524941,-95.184403,"4201, Friendswood Link Road, Friendswood, Harris County, Texas, 77546, United States"
10,1618217,,A Brighter Day Learning Academy,925 W PLANTATION DR ,CLUTE,TX,77531,BRAZORIA,979-388-9586,Licensed Center - Child Care Program,Full Permit,3/2/2017,153,abrighterdayla2015@gmail.com,1235482,,Y,Y,Y,Y,"925 W PLANTATION DR , BRAZORIA County, TX 77531",29.018044623062305,-95.41757565417723,"925, West Plantation Drive, Clute, Brazoria County, Texas, 77531, United States"
11,1046506,,A Brighter Day Quality Learning Center,8030 FM 1765 STE A101,TEXAS CITY,TX,77591,GALVESTON,409-943-5530,Licensed Center - Child Care Program,Full Permit,12/16/2009,180,abbrighter@gmail.com,537208,,Y,Y,Y,Y,"8030 FM 1765 STE A101, GALVESTON County, TX 77591",,,
12,1624533,,A Child's Reflection,875 S FRY RD ,KATY,TX,77450,HARRIS,281-492-1229,Licensed Center - Child Care Program,Full Permit,11/30/2016,179,achildsreflection@gmail.com,1242567,,Y,Y,Y,Y,"875 S FRY RD , HARRIS County, TX 77450",29.749223,-95.726582,"South Fry Road, Harris County, Texas, 77450, United States"
13,1005566,,A Child's View,31925 NICHOLS SAWMILL RD ,MAGNOLIA,TX,77355,MONTGOMERY,281-252-4000,Licensed Center - Child Care Program,Full Permit,3/25/2010,194,achildsview31925@yahoo.com,490048,,Y,Y,Y,Y,"31925 NICHOLS SAWMILL RD , MONTGOMERY County, TX 77355",30.206099859296483,-95.75016427638191,"31925, Nichols Sawmill Road, Magnolia, Montgomery County, Texas, 77355, United States"
14,1645858,,A Child's World Child Care,5538 DAPPLEWOOD LN ,KATY,TX,77449,HARRIS,281-848-8419,Licensed Child-Care Home,Full Permit,8/21/2017,12,,1268523,,Y,Y,Y,Y,"5538 DAPPLEWOOD LN , HARRIS County, TX 77449",29.852091299999998,-95.727434,"5538, Dapplewood Lane, Harris County, Texas, 77449, United States"
15,173685,,A Childs Place,708 ATCHISON ST ,SEALY,TX,77474,AUSTIN,979-885-2618,Licensed Center - Child Care Program,Full Permit,10/7/1985,51,,98614,,Y,Y,Y,Y,"708 ATCHISON ST , AUSTIN County, TX 77474",29.775876061224487,-96.15731518367348,"708, Atchison Street, Sealy, Austin County, Texas, 77474, United States"
16,906894,,A Childs Pointe Day Care,17711 DECEMBER PINE LN ,SPRING,TX,77379,HARRIS,832-717-6368,Licensed Child-Care Home,Full Permit,3/24/2009,12,donna24.7@att.net,368151,,Y,Y,Y,Y,"17711 DECEMBER PINE LN , HARRIS County, TX 77379",30.023057024616335,-95.54347572219228,"17711, December Pine Lane, Memorial Northwest, Harris County, Texas, 77379, United States"
17,1525464,,A Creative Genius Learning Academy,15710 CHIMNEY ROCK RD ,MISSOURI CITY,TX,77489,FORT BEND,281-437-2273,Licensed Center - Child Care Program,Full Permit,3/19/2014,120,,1124854,,Y,Y,Y,Y,"15710 CHIMNEY ROCK RD , FORT BEND County, TX 77489",29.599571024323872,-95.48302546218622,"15710, Chimney Rock Road, Houston, Fort Bend County, Texas, 77489, United States"
18,1617237,,A is for Apple Childcare,3502 BALL ST ,GALVESTON,TX,77550,GALVESTON,409-795-8280,Licensed Center - Child Care Program,Full Permit,6/13/2016,24,Aisforapple12345@gmail.com,1234211,,N,Y,Y,Y,"3502 BALL ST , GALVESTON County, TX 77550",29.289335,-94.8358767,"Ball Street, Galveston, Galveston County, Texas, 77551, United States"
19,1548085,,A La Chateau Center INC.,6955 ALMEDA RD ,HOUSTON,TX,77021,HARRIS,713-520-0165,Licensed Center - Child Care Program,Full Permit,2/27/2015,93,alachateaucenter@gmail.com,1156303,,Y,Y,Y,Y,"6955 ALMEDA RD , HARRIS County, TX 77021",29.7055669,-95.3845442,"Almeda Road, Texas Medical Center, Houston, Harris County, Texas, 77054, United States"
20,1494926,,A Life Time of Learning Child Care  Center,630 FM 517 RD W ,DICKINSON,TX,77539,GALVESTON,281-678-8193,Licensed Center - Child Care Program,Full Permit,11/14/2012,188,,1087468,,Y,Y,Y,Y,"630 FM 517 RD W , GALVESTON County, TX 77539",29.452323926174497,-95.07189937919462,"630, Pine Drive, Dickinson, Galveston County, Texas, 77539, United States"
21,1665824,,A New Beginning Childcare,3431 CHEANEY DR ,HOUSTON,TX,77066,HARRIS,832-446-3777,Licensed Child-Care Home,Full Permit,12/15/2017,12,anewbeginningchildcare@yahoo.com,1294849,,Y,Y,Y,Y,"3431 CHEANEY DR , HARRIS County, TX 77066",29.949477319250686,-95.47603976046302,"3431, Cheaney Drive, Harris County, Texas, 77066, United States"
22,1668970,,A Place for Children Inc,12319 BELLAIRE BLVD STE 700,HOUSTON,TX,77072,HARRIS,281-598-4040,Licensed Center - Child Care Program,Full Permit,8/13/2018,103,,1299284,,Y,Y,Y,Y,"12319 BELLAIRE BLVD STE 700, HARRIS County, TX 77072",,,
23,1721824,,A Place For Children Richmond LLC,6355 S.  PEEK RD STE. 90,RICHMOND,TX,77407,FORT BEND,832-321-3323,Licensed Center - Child Care Program,Initial,5/21/2021,68,,1378463,,Y,Y,Y,Y,"6355 S.  PEEK RD STE. 90, FORT BEND County, TX 77407",,,
24,413853,,A Place To Grow,5134 BAILEY RD ,PEARLAND,TX,77584,BRAZORIA,281-489-7419,Licensed Center - Child Care Program,Full Permit,7/9/1992,284,placetogrow@aol.com,124815,,Y,Y,Y,Y,"5134 BAILEY RD , BRAZORIA County, TX 77584",29.5301753,-95.3473936,"Bailey Road, Pearland, Brazoria County, Texas, 77584, United States"
25,1626041,,A Plus Academy,5112A ANTOINE DR ,HOUSTON,TX,77092,HARRIS,832-589-5063,Licensed Center - Child Care Program,Full Permit,8/25/2017,34,aplusacademy1@hotmail.com,1244646,,N,Y,Y,Y,"5112A ANTOINE DR , HARRIS County, TX 77092",29.839281408163266,-95.47308710204081,"5112, Antoine Drive, Rosslyn, Houston, Harris County, Texas, 77092, United States"
26,1412135,,"A Positive Place Child Care, LLC",20815 HICKORY FARM DR ,KATY,TX,77449,HARRIS,346-946-7010,Licensed Child-Care Home,Full Permit,8/7/2012,12,,983825,,Y,Y,Y,Y,"20815 HICKORY FARM DR , HARRIS County, TX 77449",29.813128713478992,-95.7341078976458,"20815, Hickory Farm Drive, Raintree Village, Harris County, Texas, 77449, United States"
27,1509056,,A Rocking Chair,14018 ALICE RD ,TOMBALL,TX,77377,HARRIS,281-516-3741,Licensed Child-Care Home,Full Permit,2/7/2013,12,arockingchair@hotmail.com,1104511,,Y,Y,Y,Y,"14018 ALICE RD , HARRIS County, TX 77377",30.07721717564689,-95.63636087893032,"14018, Alice Road, Tomball, Harris County, Texas, 77377, United States"
28,842116,,A Special Place,9002 UNION ST ,NEEDVILLE,TX,77461,FORT BEND,979-793-3030,Licensed Center - Child Care Program,Full Permit,1/28/2005,150,aspecialplacetx@hotmail.com,256940,,Y,Y,Y,Y,"9002 UNION ST , FORT BEND County, TX 77461",29.396639979591836,-95.83957608163266,"9002, Union Street, Needville, Fort Bend County, Texas, 77461, United States"
29,1395446,,A Step Above Preparatory Academy Inc.,5203 FM 521 RD ,ARCOLA,TX,77583,FORT BEND,281-431-5353,Licensed Center - Child Care Program,Full Permit,1/17/2012,95,,964228,,Y,Y,Y,Y,"5203 FM 521 RD , FORT BEND County, TX 77583",29.509903878504673,-95.46026146728971,"5203, FM 521, Arcola, Fort Bend County, Texas, 77583, United States"
30,1654562,,A to Z Preschool/Daycare Center,7303 BELLERIVE DR ,HOUSTON,TX,77036,HARRIS,713-974-0012,Licensed Center - Child Care Program,Full Permit,12/12/2017,50,,1279650,,Y,Y,Y,Y,"7303 BELLERIVE DR , HARRIS County, TX 77036",29.71300475862069,-95.51138965517241,"7303, Bellerive Drive, Houston, Harris County, Texas, 77036, United States"
31,189689,,A Young Adventure Child Care,5111 POWERLINE RD ,RICHMOND,TX,77469,FORT BEND,281-342-4109,Licensed Center - Child Care Program,Full Permit,7/23/1986,245,,99624,,Y,Y,Y,Y,"5111 POWERLINE RD , FORT BEND County, TX 77469",29.507646755832845,-95.7904408452751,"5111, Powerline Road, Fort Bend County, Texas, 77469, United States"
32,1655408,,A-1 Montessori Academy,12805 WESTHEIMER RD ,HOUSTON,TX,77077,HARRIS,281-293-7323,Licensed Center - Child Care Program,Full Permit,2/2/2018,33,enroll.a1montessori@gmail.com,1280711,,Y,Y,Y,Y,"12805 WESTHEIMER RD , HARRIS County, TX 77077",29.736100546875,-95.6132826625,"12805, Westheimer Road, Houston, Harris County, Texas, 77077, United States"
33,533187,,AAMA Sanchez High School,6001 GULF FWY ,HOUSTON,TX,77023,HARRIS,713-929-2441,Licensed Center - Child Care Program,Full Permit,2/12/1999,91,kguevara@aama.org,153069,,Y,Y,Y,N,"6001 GULF FWY , HARRIS County, TX 77023",29.7151809,-95.31164678518283,"Sanchez Charter School, 6001, Gulf Freeway, Houston, Harris County, Texas, 77023, United States"
34,1629242,,Abbey Academy Daycare,6650 RANKIN RD ,HUMBLE,TX,77396,HARRIS,832-995-5738,Licensed Center - Child Care Program,Full Permit,1/12/2017,65,,1249249,,Y,Y,Y,Y,"6650 RANKIN RD , HARRIS County, TX 77396",29.96565595,-95.28893210762553,"The Lighthouse Church, 6650, Rankin Road, Humble, Harris County, Texas, 77396, United States"
35,1673032,,Abby's Daycare,921 CYPRESS CREEK PKWY STE 115B,HOUSTON,TX,77090,HARRIS,281-352-0290,Licensed Center - Child Care Program,Full Permit,9/10/2018,58,,1304857,,Y,Y,Y,Y,"921 CYPRESS CREEK PKWY STE 115B, HARRIS County, TX 77090",,,
36,1715567,,ABC & 123 Learning Center,23931 NICHOLS SAWMILL RD ,HOCKLEY,TX,77447,MONTGOMERY,281-356-1324,Licensed Center - Child Care Program,Initial,1/14/2021,102,,1367850,,Y,Y,Y,Y,"23931 NICHOLS SAWMILL RD , MONTGOMERY County, TX 77447",30.114113,-95.781325,"23931, Nichols Sawmill Road, Montgomery County, Texas, 77447, United States"
37,141005,,ABC 123 A Cat A Me,10914 CULLEN BLVD ,HOUSTON,TX,77047,HARRIS,713-733-8365,Licensed Center - Child Care Program,Full Permit,9/2/1992,89,zsana@aol.com,97094,,Y,Y,Y,Y,"10914 CULLEN BLVD , HARRIS County, TX 77047",29.640724,-95.356087,"10914, Cullen Boulevard, Houston, Harris County, Texas, 77047, United States"
38,232750,,ABC Academy,9914 BELKNAP RD ,SUGAR LAND,TX,77498,FORT BEND,281-242-2988,Licensed Center - Child Care Program,Full Permit,12/15/1987,152,,104163,,N,Y,Y,Y,"9914 BELKNAP RD , FORT BEND County, TX 77498",29.671147857142856,-95.62338814285714,"9914, Belknap Road, Fort Bend County, Texas, 77498, United States"
39,1495626,,ABC and 123 Learning Center,22585 COMMUNITY DR ,NEW CANEY,TX,77357,MONTGOMERY,281-354-9110,Licensed Center - Child Care Program,Full Permit,1/14/2013,136,,1088468,,Y,Y,Y,Y,"22585 COMMUNITY DR , MONTGOMERY County, TX 77357",30.130167528301886,-95.22812573584905,"22585, Community Drive, Montgomery County, Texas, 77357, United States"
40,851974,,ABC Children's Academy,7380 SENATE AVE ,JERSEY VILLAGE,TX,77040,HARRIS,713-896-7700,Licensed Center - Child Care Program,Full Permit,2/2/2006,143,abcacademy_1@yahoo.com,278133,,Y,Y,Y,Y,"7380 SENATE AVE , HARRIS County, TX 77040",29.880416222222223,-95.56155728282829,"7380, Senate Avenue, Jersey Village, Harris County, Texas, 77040, United States"
41,1424666,,ABC Children's Academy #2,9450 ROUND UP LN ,HOUSTON,TX,77064,HARRIS,832-604-6062,Licensed Center - Child Care Program,Full Permit,8/24/2012,144,abcacademyhouston@gmail.com,997728,,Y,Y,Y,Y,"9450 ROUND UP LN , HARRIS County, TX 77064",29.910196172897788,-95.56925353551445,"9450, Round Up Lane, Winchester Country, Harris County, Texas, 77064, United States"
42,1425486,,ABC Children's Learning Center,8385 ANTOINE DR ,HOUSTON,TX,77088,HARRIS,281-445-0606,Licensed Center - Child Care Program,Full Permit,9/28/2012,105,qualitychildcare@hotmail.com,998928,,Y,Y,Y,Y,"8385 ANTOINE DR , HARRIS County, TX 77088",29.88927530220478,-95.47676440874535,"8385, Antoine Drive, Near Northwest, Harris County, Texas, 77088, United States"
43,1406487,,ABC Home,7106 ROOS RD ,HOUSTON,TX,77074,HARRIS,832-659-8363,Licensed Child-Care Home,Full Permit,6/27/2012,12,,976971,,Y,Y,Y,Y,"7106 ROOS RD , HARRIS County, TX 77074",29.69964356912441,-95.5086661432582,"7106, Roos Road, Houston, Harris County, Texas, 77074, United States"
44,878904,,ABC Kids Fun 2 Learn Center # 2,645 US BUSINESS 290 E ,HEMPSTEAD,TX,77445,WALLER,979-826-0232,Licensed Center - Child Care Program,Full Permit,3/18/2008,43,toilivingston@yahoo.com,324361,,Y,Y,Y,Y,"645 US BUSINESS 290 E , WALLER County, TX 77445",,,
45,1685087,,ABC LIGHTHOUSE CHILDCARE LLC,7519 AMERICAN HOLLY CT ,CYPRESS,TX,77433,HARRIS,832-271-7522,Licensed Child-Care Home,Full Permit,8/1/2019,12,,1322261,,Y,Y,Y,Y,"7519 AMERICAN HOLLY CT , HARRIS County, TX 77433",29.886964636363636,-95.70226981818182,"7519, American Holly Court, Harris County, Texas, 77433, United States"
46,549942,,ABC Word Academy,7350 W T C JESTER BLVD ,HOUSTON,TX,77088,HARRIS,281-445-9673,Licensed Center - Child Care Program,Full Permit,10/13/2000,75,mariam.munoz32@gmail.com,166018,,Y,Y,Y,N,"7350 W T C JESTER BLVD , HARRIS County, TX 77088",29.8409687,-95.4575707,"West T C Jester Boulevard, Houston, Harris County, Texas, 77018, United States"
47,1663392,,Abundant Life Academy of LaMarque,5130 HALLAM ROAD ,LAMARQUE,TX,77568,GALVESTON,409-935-8773,Licensed Center - Child Care Program,Full Permit,6/8/2018,40,,1291422,,Y,Y,Y,Y,"5130 HALLAM ROAD , GALVESTON County, TX 77568",,,
48,1452126,,Abundant Love Child Care,16102 DAWN MARIE LN ,SUGAR LAND,TX,77498,FORT BEND,832-755-9958,Licensed Child-Care Home,Full Permit,1/10/2013,12,,1032868,,Y,Y,Y,Y,"16102 DAWN MARIE LN , FORT BEND County, TX 77498",29.675331565514234,-95.6707409225311,"16102, Dawn Marie Lane, Fort Bend County, Texas, 77498, United States"
49,844295,,Academic Academy Christian Child Care Center,11948 GLOGER ST ,HOUSTON,TX,77039,HARRIS,281-219-3636,Licensed Center - Child Care Program,Full Permit,5/10/2005,109,a_academic@yahoo.com,261556,,Y,Y,Y,Y,"11948 GLOGER ST , HARRIS County, TX 77039",29.89771381748719,-95.33103965931083,"11948, Gloger Street, Aldine, Harris County, Texas, 77039, United States"
