,address_composite
0,"8030 FM 1765 STE A101, GALVESTON County, TX 77591"
1,"12319 BELLAIRE BLVD STE 700, HARRIS County, TX 77072"
2,"6355 S.  PEEK RD STE. 90, FORT BEND County, TX 77407"
3,"921 CYPRESS CREEK PKWY STE 115B, HARRIS County, TX 77090"
4,"645 US BUSINESS 290 E , WALLER County, TX 77445"
5,"5130 HALLAM ROAD , GALVESTON County, TX 77568"
6,"13712 WALTERS RD STE 110, HARRIS County, TX 77014"
7,"9903 S DAIRY ASHFORD RD APT 4301, HARRIS County, TX 77099"
8,"22762 WESTHEIMER PKWY STE 455, FORT BEND County, TX 77450"
9,"2400 FM 1488 STE 900, MONTGOMERY County, TX 77384"
10,"10403 KATY FWY STE 220, HARRIS County, TX 77024"
11,"795 FISH CREEK THOROUGHFARE SUITE 140, MONTGOMERY County, TX 77316"
12,"9803 SPRING CYPRESS RD STE 100, HARRIS County, TX 77070"
13,"12603 LOUETTA RD STE 112, HARRIS County, TX 77429"
14,"11240 FM 1960 RD W STE 205, HARRIS County, TX 77065"
15,"10600 BELLAIRE BLVD STE 111, HARRIS County, TX 77072"
16,"20435 OAK LODGE MEADOW DR , HARRIS County, TX 77338"
17,"9720 JONES RD STE 160, HARRIS County, TX 77065"
18,"14831 WAYNEWOOD DR , HARRIS County, TX 77429"
19,"13613 SABLEGLEN ST , HARRIS County, TX 77014"
20,"10611 PINE LANDING DR UNIT B, HARRIS County, TX 77088"
21,"14903 DUNWOODY BND , HARRIS County, TX 77429"
22,"9910 FUQUA ST STE H, HARRIS County, TX 77075"
23,"12289 W HOUSTON CENTER BLVD STE 200, HARRIS County, TX 77082"
24,"19221 W LITTLE YORK RD STE 100, HARRIS County, TX 77449"
25,"400 PARK LANE PB # 33, HARRIS County, TX 77506"
26,"8273 PARK PLACE BVLD APT 33, HARRIS County, TX 77017"
27,"8273 PARK PLACE BLVD APT 39, HARRIS County, TX 77017"
28,"5258 LOUETTA RD STE 190, HARRIS County, TX 77379"
29,"1721 STERLING LAKES WEST DRIVE , BRAZORIA County, TX 77583"
30,"300 N HIGHWAY 146 , HARRIS County, TX 77520"
31,"14442 FONMEADOW DR , HARRIS County, TX 77035"
32,"14360 BELLAIRE BLVD STE 124, HARRIS County, TX 77083"
33,"13127 CANDLEWOOD GLEN LN , HARRIS County, TX 77014"
34,"10904 SCARSDALE BLVD STE 300, HARRIS County, TX 77089"
35,"20144 MORTON RD 100, HARRIS County, TX 77449"
36,"8014 CADEN MILLS LN , FORT BEND County, TX 77407"
37,"1420 KATY FLEWELLEN RD STE A-400, FORT BEND County, TX 77494"
38,"12450 BISSONNET ST STE 110, HARRIS County, TX 77099"
39,"17118 W LITTLE YORK RD STE 101, HARRIS County, TX 77084"
40,"4200 FALL LAKES DR , MONTGOMERY County, TX 77386"
41,"15633 WESTPARK DR STE 100, HARRIS County, TX 77082"
42,"16140 KUYKENDAHL RD STE 128, HARRIS County, TX 77068"
43,"13307 FM 1764 & 3606 AVE S , GALVESTON County, TX 77510"
44,"5803 N FRY RD STE 114, HARRIS County, TX 77449"
45,"4022 ANGEL SPRINGS DR , FORT BEND County, TX 77479"
46,"5618 H. Mark Crosswell  Street Jr, HARRIS County, TX 77021"
47,"12283A VETERANS MEMORIAL DR , HARRIS County, TX 77067"
48,"825 PLANTATION DR STE 100, FORT BEND County, TX 77406"
49,"1001 MCKINNEY ST STE 170, HARRIS County, TX 77002"
50,"3220 KIRBY DR STE 160, BRAZORIA County, TX 77584"
51,"712 E TIDWELL RD STE J, HARRIS County, TX 77022"
52,"4025 S MASON RD , FORT BEND County, TX 77450"
53,"2955 S SAM HOUSTON PKWY E #600, HARRIS County, TX 77047"
54,"6380 HIGHWAY 90A , FORT BEND County, TX 77498"
55,"4800 PORT AEGEAN DRIVE , HARRIS County, TX 77388"
56,"1522 E 32ND 1/2 ST , HARRIS County, TX 77022"
57,"20211 S UNIVERSITY BLVD , FORT BEND County, TX 77459"
58,"23714 SPRINGWOLF DR , HARRIS County, TX 77373"
59,"23144 CINCO RANCH BLVD STE H, FORT BEND County, TX 77494"
60,"779 NORMANDY ST # 100, HARRIS County, TX 77015"
61,"12402 HIGHWAY 6 , FORT BEND County, TX 77545"
62,"14545 HIGHWAY 105 W , MONTGOMERY County, TX 77304"
63,"5115 F M 646 S , GALVESTON County, TX 77510"
64,"1003 GULF BANK RD TRLR 6, HARRIS County, TX 77037"
65,"12033 ST HWY 6 STE 1100, FORT BEND County, TX 77545"
66,"2098 W MAIN ST , GALVESTON County, TX 77573"
67,"2530 S PEEK RD , FORT BEND County, TX 77450"
68,"16305 WESTHEIMER RD STE 111, HARRIS County, TX 77082"
69,"16233 CLAY RD STE 300, HARRIS County, TX 77084"
70,"14144 WESTHEIMER RD STE 88, HARRIS County, TX 77077"
71,"3322 YELLOWSTONE BLVD BLDG 32, HARRIS County, TX 77021"
72,"8350 HIGHWAY 6 N , HARRIS County, TX 77095"
73,"10851 SCARSDALE BLVD STE 700, HARRIS County, TX 77089"
74,"3810 HIGHWAY 124 , CHAMBERS County, TX 77665"
75,"13331 Kuykendahl  Suite 101 & Suite 122, HARRIS County, TX 77090"
76,"1214 HIGHWAY 90 W , AUSTIN County, TX 77474"
77,"9920 HIGHWAY 90A STE B290, FORT BEND County, TX 77478"
78,"7002 WATER GLEN LN , BRAZORIA County, TX 77578"
79,"5910 S MASON RD , FORT BEND County, TX 77450"
80,"16628 HIGHWAY 36 , FORT BEND County, TX 77461"
81,"6706A W AIRPORT BLVD , HARRIS County, TX 77071"
82,"5507 F M 2100 , HARRIS County, TX 77532"
83,"1334 Runneburg RD PO Box 1385 , HARRIS County, TX 77532"
84,"13715 SUNMOUNT PINES DR , FORT BEND County, TX 77083"
85,"8250 PARK PLACE BLVD APT 207, HARRIS County, TX 77017"
86,"11411 WINDFERN RD STE 290, HARRIS County, TX 77064"
87,"15118 JEREK DR , FORT BEND County, TX 77053"
88,"17522B LINER LN , HARRIS County, TX 77095"
89,"14300 CORNERSTONE VILLAGE DR STE 212, HARRIS County, TX 77014"
90,"8830 OLD GALVESTON RD BLDG D, HARRIS County, TX 77034"
91,"3700 N HIGHWAY 146 , HARRIS County, TX 77520"
92,"27427 DECKER PRAIRIE ROSEHL R , MONTGOMERY County, TX 77355"
93,"23939 BUSHEL PARK DR , HARRIS County, TX 77447"
94,"19400 W BELLFORT ST APT 1116, FORT BEND County, TX 77407"
95,"18650 LANSDOWNE STREAM PATH , HARRIS County, TX 77449"
